account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial_x,churn_flag_x,subscription_id,start_date,end_date,plan_tier_y,seats_y,mrr_amount,arr_amount,is_trial_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,churn_event_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,is_churned
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-faa8ec,09-12-2024,,Basic,11,209,2508,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-faa8ec,09-12-2024,,Basic,11,209,2508,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-b78829,12-11-2024,,Pro,20,980,11760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-b78829,12-11-2024,,Pro,20,980,11760,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-7ce677,20-10-2024,,Pro,9,441,5292,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-7ce677,20-10-2024,,Pro,9,441,5292,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-34a131,29-11-2024,,Enterprise,9,1791,21492,FALSE,FALSE,FALSE,FALSE,annual,FALSE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-34a131,29-11-2024,,Enterprise,9,1791,21492,FALSE,FALSE,FALSE,FALSE,annual,FALSE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-1e349b,13-11-2024,,Basic,102,1938,23256,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-1e349b,13-11-2024,,Basic,102,1938,23256,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-d24841,17-11-2024,,Pro,9,0,0,TRUE,TRUE,FALSE,FALSE,annual,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-d24841,17-11-2024,,Pro,9,0,0,TRUE,TRUE,FALSE,FALSE,annual,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-c4cef7,25-10-2024,,Pro,13,637,7644,FALSE,FALSE,FALSE,FALSE,annual,FALSE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-c4cef7,25-10-2024,,Pro,13,637,7644,FALSE,FALSE,FALSE,FALSE,annual,FALSE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-3d7bed,22-12-2024,,Basic,44,836,10032,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-3d7bed,22-12-2024,,Basic,44,836,10032,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-e79dbc,30-10-2024,,Pro,66,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-e79dbc,30-10-2024,,Pro,66,0,0,TRUE,FALSE,FALSE,FALSE,monthly,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-d4d459,19-12-2024,,Enterprise,29,5771,69252,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-695fcd,23-11-2024,budget,0,FALSE,FALSE,FALSE,switched to competitor,1
A-2e4581,Company_0,EdTech,US,16-10-2024,partner,Basic,9,FALSE,FALSE,S-d4d459,19-12-2024,,Enterprise,29,5771,69252,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-cea92d,05-12-2024,competitor,0,TRUE,FALSE,FALSE,,1
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-f3274c,07-02-2024,,Pro,18,882,10584,FALSE,FALSE,FALSE,FALSE,annual,FALSE,,,,,,,,,0
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-8e5fd4,09-03-2024,,Basic,27,513,6156,FALSE,TRUE,FALSE,FALSE,annual,TRUE,,,,,,,,,0
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-fa8c75,08-07-2024,,Pro,18,882,10584,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,,,,,,,,,0
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-df262a,06-11-2023,,Enterprise,28,5572,66864,FALSE,TRUE,FALSE,FALSE,monthly,TRUE,,,,,,,,,0
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-c80ac4,29-11-2023,,Basic,18,342,4104,FALSE,FALSE,FALSE,FALSE,annual,TRUE,,,,,,,,,0
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-9171f0,26-03-2024,,Basic,27,513,6156,FALSE,FALSE,FALSE,FALSE,annual,TRUE,,,,,,,,,0
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-0d2fb8,20-09-2023,,Basic,22,418,5016,FALSE,FALSE,FALSE,FALSE,annual,FALSE,,,,,,,,,0
A-43a9e3,Company_1,FinTech,IN,17-08-2023,other,Basic,18,FALSE,TRUE,S-726749,22-02-2024,,Pro,18,882,10584,FALSE,TRUE,FALSE,FALSE,annual,TRUE,,,,,,,,,0
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-ce5450,25-12-2024,28-12-2024,Pro,8,0,0,TRUE,FALSE,FALSE,TRUE,annual,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-ce5450,25-12-2024,28-12-2024,Pro,8,0,0,TRUE,FALSE,FALSE,TRUE,annual,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-f615d2,23-10-2024,,Pro,18,882,10584,FALSE,TRUE,FALSE,FALSE,monthly,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-f615d2,23-10-2024,,Pro,18,882,10584,FALSE,TRUE,FALSE,FALSE,monthly,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-a346d6,31-08-2024,25-09-2024,Enterprise,19,3781,45372,FALSE,FALSE,FALSE,TRUE,annual,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-a346d6,31-08-2024,25-09-2024,Enterprise,19,3781,45372,FALSE,FALSE,FALSE,TRUE,annual,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-45baa6,08-10-2024,,Pro,4,196,2352,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-45baa6,08-10-2024,,Pro,4,196,2352,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-f32440,06-10-2024,,Basic,40,760,9120,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-f32440,06-10-2024,,Basic,40,760,9120,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-973e8e,28-09-2024,16-12-2024,Enterprise,6,1194,14328,FALSE,FALSE,FALSE,TRUE,annual,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-973e8e,28-09-2024,16-12-2024,Enterprise,6,1194,14328,FALSE,FALSE,FALSE,TRUE,annual,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-d6106b,16-10-2024,,Basic,6,114,1368,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-d6106b,16-10-2024,,Basic,6,114,1368,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-22eb3c,20-12-2024,,Basic,60,1140,13680,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-22eb3c,20-12-2024,,Basic,60,1140,13680,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-3b98b1,10-10-2024,,Enterprise,29,5771,69252,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-100b97,06-10-2024,features,0,FALSE,FALSE,FALSE,switched to competitor,1
A-0a282f,Company_2,DevTools,US,27-08-2024,organic,Basic,1,FALSE,FALSE,S-3b98b1,10-10-2024,,Enterprise,29,5771,69252,FALSE,FALSE,FALSE,FALSE,monthly,TRUE,C-484fba,31-12-2024,support,62.66,FALSE,TRUE,FALSE,too expensive,1
